id	bibliographicCitation	eventID	eventDate	country	county	locality	decimalLatitude	decimalLongitude	geodeticDatum
urn:uuid:26E4D9FF-B16F-41A6-BD24448BCC5432FD	2018	urn:uuid:26E4D9FF-B16F-41A6-BD24448BCC5432FD	2018-09-28	Norway	Oslo	Dk1 (S1)	59.814999	10.569384	WGS84
urn:uuid:0987B721-010C-4A99-B3E6BDACFEB3007C	Magnusson, J., J. A. Berge, B. Bjerkeng, and others. 2001. Overvåking av forurensningsituasjonen i indre Oslofjord i 2000.	urn:uuid:0987B721-010C-4A99-B3E6BDACFEB3007C	2000-08-15	Norway	Oslo	Dk1 (S1)	59.814999	10.569384	WGS84
urn:uuid:836D4A26-89DA-4240-B700625EA9F5DE31	Magnusson, J., J. A. Berge, B. Bjerkeng, and others. 2001. Overvåking av forurensningsituasjonen i indre Oslofjord i 2000.	urn:uuid:836D4A26-89DA-4240-B700625EA9F5DE31	2000-08-01	Norway	Oslo	Dk1 (S1)	59.814999	10.569384	WGS84
urn:uuid:58C61791-3A6A-4B09-A51917BEF3796513	Magnusson, J., J. A. Berge, B. Bjerkeng, and others. 2001. Overvåking av forurensningsituasjonen i indre Oslofjord i 2000.	urn:uuid:58C61791-3A6A-4B09-A51917BEF3796513	2000-07-25	Norway	Oslo	Dk1 (S1)	59.814999	10.569384	WGS84
urn:uuid:D020324C-6143-4409-832CC1039CAEDB4B	Magnusson, J., J. A. Berge, B. Bjerkeng, and others. 2001. Overvåking av forurensningsituasjonen i indre Oslofjord i 2000.	urn:uuid:D020324C-6143-4409-832CC1039CAEDB4B	2000-07-18	Norway	Oslo	Dk1 (S1)	59.814999	10.569384	WGS84
urn:uuid:EA211CAA-BEB7-4D99-ADAF3F361541AB5	Magnusson, J., J. A. Berge, B. Bjerkeng, and others. 2001. Overvåking av forurensningsituasjonen i indre Oslofjord i 2000.	urn:uuid:EA211CAA-BEB7-4D99-ADAF3F361541AB5	2000-07-11	Norway	Oslo	Dk1 (S1)	59.814999	10.569384	WGS84
urn:uuid:F153EB39-570D-4CF5-81B0EA9592C3ECF1	Magnusson, J., J. A. Berge, B. Bjerkeng, and others. 2001. Overvåking av forurensningsituasjonen i indre Oslofjord i 2000.	urn:uuid:F153EB39-570D-4CF5-81B0EA9592C3ECF1	2000-07-04	Norway	Oslo	Dk1 (S1)	59.814999	10.569384	WGS84
urn:uuid:36842C68-9906-498B-A9CFA328FCD217E8	Magnusson, J., J. A. Berge, B. Bjerkeng, and others. 2001. Overvåking av forurensningsituasjonen i indre Oslofjord i 2000.	urn:uuid:36842C68-9906-498B-A9CFA328FCD217E8	2000-06-28	Norway	Oslo	Dk1 (S1)	59.814999	10.569384	WGS84
urn:uuid:21B452E5-D4AB-46CC-82DBF730E166F42	Magnusson, J., J. A. Berge, B. Bjerkeng, and others. 2001. Overvåking av forurensningsituasjonen i indre Oslofjord i 2000.	urn:uuid:21B452E5-D4AB-46CC-82DBF730E166F42	2000-06-20	Norway	Oslo	Dk1 (S1)	59.814999	10.569384	WGS84
urn:uuid:D8B1024A-91DA-4E0C-BC3203EBBF4BC24	Magnusson, J., J. A. Berge, B. Bjerkeng, and others. 2001. Overvåking av forurensningsituasjonen i indre Oslofjord i 2000.	urn:uuid:D8B1024A-91DA-4E0C-BC3203EBBF4BC24	2000-06-15	Norway	Oslo	Dk1 (S1)	59.814999	10.569384	WGS84
urn:uuid:09E9793B-B290-44A9-8696E2FDD45036ED	Magnusson, J., E. R. Lømsland, and T. Johnsen. 1996. Overvåkning av forurensningsituasjonen i indre Oslofjord 1995.	urn:uuid:09E9793B-B290-44A9-8696E2FDD45036ED	1995-05-15	Norway	Oslo	Dk1 (S1)	59.814999	10.569384	WGS84
urn:uuid:9136C9FC-F376-4C6F-BD5B35511CFCE33C	Gaarder, T., and H. H. Gran. 1927. Investigations of the Production of Plankton in the Oslo Fjord. Cons. Perm. Int. Pour L’Exploration La Mer Rapp. Proces-Verbaux Des Reun. 42: 48.	urn:uuid:9136C9FC-F376-4C6F-BD5B35511CFCE33C	1917-09-06	Norway	Oslo	Drobak (S2)	59.622032	10.628217	WGS84
