id	measurementID	measurementType	measurementValue	measurementUnit
urn:uuid:26E4D9FF-B16F-41A6-BD24448BCC5432FD	urn:uuid:A04AD455-3299-4CC7-85398838154DFBB4	Depth	3.5	m
urn:uuid:26E4D9FF-B16F-41A6-BD24448BCC5432FD	urn:uuid:01481B0D-0AEC-44B8-B7806FF115D5A43D	Temperature	13.86	Celsius
urn:uuid:26E4D9FF-B16F-41A6-BD24448BCC5432FD	urn:uuid:9171F62F-607A-4627-846176B7A5C5BEA	Salinity (PSU)	24.5	Salinity
urn:uuid:26E4D9FF-B16F-41A6-BD24448BCC5432FD	urn:uuid:877B5F4D-1EB5-4CC5-B7DE6118A925D0EC	Tot-P(µM)	0.355139317925883	µM
urn:uuid:26E4D9FF-B16F-41A6-BD24448BCC5432FD	urn:uuid:6B952EA9-B040-4DA4-A4B2D5003E045935	Tot-N (µM)	14.9928248623873	µM
urn:uuid:26E4D9FF-B16F-41A6-BD24448BCC5432FD	urn:uuid:598F1CEE-1596-4845-A1BC626E90DC1CDF	Chl-a(µg/l)	1.4	µg/l
urn:uuid:0987B721-010C-4A99-B3E6BDACFEB3007C	urn:uuid:EA2B4431-4C94-4D2D-BD003C369E33C59F	Depth	0	m
urn:uuid:0987B721-010C-4A99-B3E6BDACFEB3007C	urn:uuid:1050B951-823D-49E0-AA036815FAD72D06	Tot-P(µM)	0.29056853284845	µM
urn:uuid:0987B721-010C-4A99-B3E6BDACFEB3007C	urn:uuid:43D7DDBA-42A5-41FD-B52572F7BF1E8E70	PO4-P(µM)	3.22853925387166E-02	µM
urn:uuid:0987B721-010C-4A99-B3E6BDACFEB3007C	urn:uuid:A70E463F-7C83-4A8C-A89152D3B4FAF55D	Tot-N (µM)	17.8486010266515	µM
urn:uuid:0987B721-010C-4A99-B3E6BDACFEB3007C	urn:uuid:F2327A7D-6AAD-4C41-BBD087565272466C	NO3-N (µM)	7.13944041066061E-02	µM
urn:uuid:0987B721-010C-4A99-B3E6BDACFEB3007C	urn:uuid:AAB44AD2-1924-41AB-00FF3500D1AAC5DF	NH4-N(µM)	0.356972020533031	µM
urn:uuid:0987B721-010C-4A99-B3E6BDACFEB3007C	urn:uuid:6DF0FC0E-5ACD-4C34-8FA2DD2402004B57	SiO2(µM)	0.183089214380826	µM
urn:uuid:0987B721-010C-4A99-B3E6BDACFEB3007C	urn:uuid:5D9F3758-3E09-4F1B-BBC8F94DD6B591E6	Chl-a(µg/l)	5.01	µg/l
urn:uuid:0987B721-010C-4A99-B3E6BDACFEB3007C	urn:uuid:11F3FA0D-0F57-452F-AE58A2BAACC50701	Secchi depth	6	m
urn:uuid:836D4A26-89DA-4240-B700625EA9F5DE31	urn:uuid:E40DDBE9-4C1C-483C-B255502DACC768F5	Depth	0	m
urn:uuid:836D4A26-89DA-4240-B700625EA9F5DE31	urn:uuid:ED222B5E-18E1-4B82-8EFD77C3EA0012F	Tot-P(µM)	0.225997747771016	µM
urn:uuid:836D4A26-89DA-4240-B700625EA9F5DE31	urn:uuid:7310A539-441E-4C07-ACDDA595DD55F89	PO4-P(µM)	3.22853925387166E-02	µM
urn:uuid:836D4A26-89DA-4240-B700625EA9F5DE31	urn:uuid:5926160D-29EB-4279-A6E23922F6C045E1	Tot-N (µM)	15.7067689034533	µM
urn:uuid:836D4A26-89DA-4240-B700625EA9F5DE31	urn:uuid:96925545-3B1C-4380-BF1254B16E68F3DA	NO3-N (µM)	0.571155232852849	µM
urn:uuid:836D4A26-89DA-4240-B700625EA9F5DE31	urn:uuid:C98D8CB5-70C9-4DB6-BD2BD121619F2762	NH4-N(µM)	0.356972020533031	µM
urn:uuid:836D4A26-89DA-4240-B700625EA9F5DE31	urn:uuid:DAFDFACE-F939-49DB-BEB3868F84562671	SiO2(µM)	0.399467376830892	µM
urn:uuid:836D4A26-89DA-4240-B700625EA9F5DE31	urn:uuid:37A13C13-CED8-4A8D-B7B051A93F17F7EF	Chl-a(µg/l)	3.77	µg/l
urn:uuid:836D4A26-89DA-4240-B700625EA9F5DE31	urn:uuid:86F2E157-F176-4A68-ADC6F600BDE19130	Secchi depth	3.2	m
